[00:00:00] OpenAI很多这个model release（模型发布）
[00:00:01] 都有我的名字
[00:00:03] 这个就是因为我在OpenAI的内部
[00:00:05] 搭了整个post-training RL infra（后训练强化学习基建）
[00:00:08] 所以整个post-training的RL infra
[00:00:09] 你是最核心的贡献者了
[00:00:11] 是的
[00:00:11] 因为我觉得应该打破信息差
[00:00:14] 信息差是一个
[00:00:15] 就是如果你在清华生存的话
[00:00:18] 是一个很有用的东西
[00:00:19] 但是我觉得
[00:00:21] 每个人都应该平等的拥有这个信息
[00:00:23] 哪怕当时有了现在的认知
[00:00:26] 那还是做不出来
[00:00:27] 没有我不想发paper（论文）
[00:00:28] 我觉得发paper（论文）完全没有意义
[00:00:30] 幻方当时说要搞一个
[00:00:33] AI Lab（AI实验室）就是后面的DeepSeek
[00:00:36] 对我当时是拿了offer
[00:00:38] 就是如果你想进工业界
[00:00:39] 那么读PhD（博士）就是浪费生命
[00:00:41] 教一个researcher（研究者）
[00:00:45] 如何做好engineering（工程）
[00:00:48] 要远比教一个engineer（工程师）
[00:00:49] 如何做好research（研究）
[00:00:51] 来得难
[00:00:52] 每一家的infra都有不同程度的bug
[00:00:54] 然后谁修bug
[00:00:55] 谁修的bug越多
[00:00:57] 那谁的模型训的就越好
[00:01:01] Hello大家好
[00:01:02] 本期嘉宾翁家翌
[00:01:04] 他于2022年加入OpenAI
[00:01:05] 并且是OpenAI一系列模型背后的核心贡献者
[00:01:08] 从ChatGPT
[00:01:09] GPT-4o再到GPT-5
[00:01:11] 你能看到的每一个模型跃迁背后
[00:01:13] 都有他的身影
[00:01:15] 而他的核心贡献
[00:01:16] 可以被总结为三个关键词
[00:01:18] 强化学习
[00:01:19] post-training（后训练）
[00:01:19] infra（基础设施）
[00:01:20] 但对我来说
[00:01:21] 翁家翌不只是把模型做得更强的人
[00:01:23] 在加入OpenAI之前
[00:01:25] 他就已经用开源和代码影响过无数人
[00:01:27] 从在清华开源作业与资料
[00:01:29] 试图打破信息差
[00:01:31] 到开源强化学习框架天授
[00:01:33] 做出免费签证查询系统
[00:01:35] 他把代码工具视作一种慈善
[00:01:37] 在这期播客
[00:01:38] 我们会从翁家翌的童年聊起
[00:01:40] 到清华与CMU的求学之路
[00:01:42] 再到2022年加入OpenAI之后的亲身经历
[00:01:45] 站在世界AI风暴中心的他
[00:01:47] 看见了什么
[00:01:48] 这里是WhynotTV Podcast
[00:01:50] 现在请和我一起进入翁家翌的世界
[00:01:55] Hello家翌
[00:01:56] 欢迎你来到WhynotTV Podcast
[00:01:58] Hello Hello
[00:02:00] 我觉得这期很奇妙的一点就是
[00:02:03] 我在给你准备这期的outline（大纲）的时候
[00:02:05] 我用的是GPT-5的Deep Research（深度调研）
[00:02:08] 然后这相当于是你自己在背后
[00:02:10] 作为核心开发者的产品和模型
[00:02:13] 然后他们自己在做deep research（深度调研）
[00:02:15] 想这些问题采访你
[00:02:17] 你是背后他们的生产者
[00:02:19] 是他们的Developer（开发者）
[00:02:21] 我觉得这个是一个比较奇妙的闭环
[00:02:23] 今天我们会谈到很多部分
[00:02:25] 从你的童年成长
[00:02:26] 清华的本科经历
[00:02:28] 到CMU读研
[00:02:29] 再到2022年加入OpenAI
[00:02:31] 至今的所有的核心开发的经历
[00:02:33] 我想先从最早你的童年开始
